"Year","cpue","catch"
1,8.6477081393241,2500
2,7.89667885850402,2043.59914857945
3,5.11495560883063,1704.17912069185
4,7.83788433416999,1682.40092506357
5,4.97497379093956,1438.03762493496
6,4.35652897267104,1653.8233678515
7,6.33107587688468,1927.31310730298
8,5.60653878235218,1688.14756604419
9,4.43257495080715,1431.79359930442
10,3.69236959266267,1475.23495009305
11,4.85542476807262,1396.96614341744
12,4.59081703195007,1710.10266193011
13,3.30311379803842,1556.387730834
14,2.30770897714804,1543.72416735078
15,4.0218977355992,1422.67926806581
16,2.65189628544045,1221.2670307709
17,2.47765743600137,1167.85216501133
18,2.27607201074891,910.710250326584
19,2.38002771572576,1003.05712973565
20,2.09136713442983,947.328404960043
21,2.49819678487471,106.037914771238
22,3.40884647041066,148.705776722106
23,3.56878204824833,179.349135428083
24,3.17415969749812,241.03358477899
25,5.86049723847151,264.090621847877
26,5.32914122117563,274.908648937687
27,6.28865529790944,330.93744530087
28,5.14959479537533,352.514414381444
29,6.85906245506539,384.992471861408
30,8.76008043801529,411.019139162015
31,10.3051202376626,400.585800608263
32,7.58909733587013,395.160972480139
33,8.66831858593105,409.183422129005
34,9.24602549143938,476.743111798872
35,5.90074718431075,396.435716709871
36,7.9571076474866,2205.09396939465
37,6.64936883944694,1835.07539604282
38,6.94748746341842,1793.10435878983
39,7.5371490934948,1542.71610997099
40,6.84931825818646,1499.63180127153
41,5.52400616305803,1456.03022627723
42,4.90377173029271,1315.71813232849
43,6.57073483491317,1457.81485082134
44,6.84250904801397,1561.31354564403
45,5.33776287358563,1562.46297360132
46,5.81366661325014,1708.15890833048
47,6.8851716922901,1632.57629390441
48,6.03695676669093,1320.35295680709
49,4.68903661616642,1223.11640289115
50,5.06229021077912,1082.53237202156
