"ID","Species","ratio.Fork.length","ratio.Eye.diameter","ratio.Body.height","ratio.First.dorsal.fin","ratio.Second.dorsal.fin","Shape.caudal.fin"
"スズキ1","スズキ",0.930180037986964,0.0618119224024576,0.222893109289809,0.206120687550768,0.0535183801716852,"湾入形"
"ブリ1","ブリ",0.900009279514374,0.036057979815249,0.225612872920432,0.0568496034467163,0.495323091149093,"湾入形"
"マダイ1","マダイ",0.926316913247109,0.0723118143583892,0.368024363153894,0.437113907299934,0,"二叉形"
"マコガレイ1","マコガレイ",NA,0.0382897527946494,0.325190668997235,0.726786530133677,0,"円形"
"ヒラメ1","ヒラメ",NA,0.0371920837643255,0.245082926442779,0.692717954155811,0,"円形"
"コノシロ1","コノシロ",0.91655168848046,0.0400388703456414,0.265632596748767,0.160257003050152,0,"二叉形"
"カタクチイワシ1","カタクチイワシ",0.93188552173598,0.0544725636552377,0.128957983673485,0.0182869912574973,0.0461485455765158,"二叉形"
"イトヨリダイ1","イトヨリダイ",0.77549519968746,0.0367371292415187,0.209626311742779,0.374802762028947,0,"二叉形"
"クロダイ1","クロダイ",0.961204203294752,0.0435417915645092,0.298507420628956,0.416780480410924,0,"二叉形"
"マイワシ1","マイワシ",0.907729993371119,0.0444131157473469,0.149166504426985,0.100099311376499,0,"二叉形"
"マアジ1","マアジ",0.926838405007642,0.0640250187922483,0.193761670832933,0.100894730314063,0.330750424134882,"二叉形"
"マサバ1","マサバ",0.914558922008695,0.0555723885384788,0.207130341444728,0.114124104668559,0.101996076938214,"二叉形"
"スズキ2","スズキ",0.964810255117594,0.0625600891363217,0.233385162468562,0.197611211836657,0.0535341149340643,"湾入形"
"ブリ2","ブリ",0.949222567148398,0.0374515505619282,0.226221208469337,0.0550018643773054,0.497102078014684,"湾入形"
"マダイ2","マダイ",0.885294730128563,0.0730225447615846,0.368201789764024,0.43911201604059,0,"二叉形"
"マコガレイ2","マコガレイ",NA,0.0371297490022934,0.324362974464867,0.711191768765436,0,"円形"
"ヒラメ2","ヒラメ",NA,0.0388112733781908,0.238956289366365,0.707165067288774,0,"円形"
"コノシロ2","コノシロ",0.874086994194348,0.039796591025538,0.265942317810148,0.157245882722254,0,"二叉形"
"カタクチイワシ2","カタクチイワシ",0.920373811571951,0.0550636160293838,0.130167885391054,0.0183728563339653,0.0466137029278655,"二叉形"
"イトヨリダイ2","イトヨリダイ",0.749559810475628,0.0360201874287413,0.207256965796124,0.396212211285984,0,"二叉形"
"クロダイ2","クロダイ",0.947456556508091,0.0438786717193854,0.306559251173785,0.428950024014378,0,"二叉形"
"マイワシ2","マイワシ",0.917154112236866,0.0448445779546673,0.155961475313,0.0977672413411804,0,"二叉形"
"マアジ2","マアジ",0.877685457307519,0.0631411847981287,0.204276714141495,0.101529498735106,0.319254881263035,"二叉形"
"マサバ2","マサバ",0.915255001538503,0.0562961929802784,0.205983138674183,0.111722320599865,0.106048384653764,"二叉形"
"スズキ3","スズキ",0.981924527495951,0.0627667892504346,0.227808388403401,0.203301133565586,0.0542466099777413,"湾入形"
