"","lon","lat","year","catch","area","effort"
"2",147.353485226349,36.0109154768824,1990,0,0,1
"3",147.448250174716,2.32884222493933,1990,0,0,1
"4",138.578131111836,31.8152306199512,1990,0,0,1
"5",125.651914963563,52.6188714650479,1990,0,0,1
"6",155.386956517341,37.1197130490371,1990,18.1840217717546,1,1
"7",142.164498796836,41.5727274483783,1990,0,0,1
"8",130.902709054563,32.5097124620738,1990,0,0,1
"9",152.231804350389,19.0085893704602,1990,0,1,1
"10",165.310355247503,33.7242348914591,1990,211.314000680006,1,1
"11",152.304902940975,12.1564995933393,1990,0,1,1
"12",153.791533793228,34.9926364129609,1990,22.0936098987526,1,1
"13",150.545564163139,26.2028421277322,1990,0,1,1
"14",142.154189458901,32.7895348740237,1990,0,0,1
"15",138.253419761676,30.2597137155647,1990,0,0,1
"16",137.845111395014,43.4252439327428,1990,0,0,1
"17",142.29472069885,13.1503747053338,1990,0,0,1
"18",148.129646389837,11.0596574036306,1990,0,0,1
"19",161.698067897229,16.166973026536,1990,0,1,1
"20",153.922592730849,21.6272202789164,1990,0,1,1
"21",134.845110993318,30.0256628968204,1990,0,0,1
"22",148.496169759471,12.2695997736227,1990,0,0,1
"23",152.893828592081,39.9967633252732,1990,12.5658497283719,1,1
"24",150.981912449298,27.4597400105042,1990,10.9622782961853,1,1
"25",171.089452868312,37.6922242478993,1990,298.815090943541,2,1
"26",137.143119110436,28.9765497045144,1990,0,0,1
"27",148.705967278298,15.0078624350331,1990,0,0,1
"28",145.793515625552,31.0291081743572,1990,0,0,1
"29",133.79675648656,44.6249872258965,1990,0,0,1
"30",142.499841511812,21.6060818355547,1990,0,0,1
"31",150.518359984582,41.7592793748729,1990,0,1,1
"32",142.591948197118,30.4779854898525,1990,0,0,1
"33",132.599526252903,53.5389080126342,1990,0,0,1
"34",150.783277133043,24.2478108359659,1990,0,1,1
"35",141.09644896313,12.5449485371006,1990,0,0,1
"36",144.369380603128,27.9276855918856,1990,0,0,1
"37",143.476745841446,29.765393293504,1990,0,0,1
"38",147.231097204058,15.1951347150701,1990,0,0,1
"39",153.828388502908,57.2769292303407,1990,0,1,1
"40",143.624249008476,32.9197215697287,1990,0,0,1
"41",123.910962747825,44.4972635266916,1990,0,0,1
"42",163.750862172134,23.6756226619593,1990,16.4723908917499,1,1
"43",143.376205044232,29.2480450417495,1990,0,0,1
"44",149.351901388316,27.6463668591253,1990,0,0,1
"45",165.385594988192,53.8749938871963,1990,0,1,1
"46",146.61290719023,18.6135817937048,1990,0,0,1
"47",138.421591428199,17.2785502765538,1990,0,0,1
"48",157.072848429128,22.4318608485466,1990,0,1,1
"49",152.873579208492,31.6767954437805,1990,0,1,1
"50",150.808261077943,10.7928958885138,1990,0,1,1
"51",133.096404353221,39.233825693765,1990,0,0,1
"52",149.199156532537,26.4591327262762,1990,0,0,1
"53",133.452049732075,31.8322240193254,1990,0,0,1
"54",153.836634578602,32.1341647046039,1990,0,1,1
"55",130.687847897326,16.3962439143726,1990,0,0,1
"56",149.332820847452,22.1960786781964,1990,0,0,1
"57",141.433871776225,39.6768922176829,1990,0,0,1
"58",148.617301749361,32.4350529127464,1990,8.3231905450495,0,1
"59",138.398523937176,18.7900207982241,1990,0,0,1
"60",146.65218881855,17.8321603532732,1990,0,0,1
"61",128.168410765368,36.3089210818774,1990,0,0,1
"62",141.33313329876,41.3179180137588,1990,0,0,1
"63",162.705339177842,15.1402612358743,1990,0,1,1
"64",149.59259630615,31.7820223324961,1990,4.76436290015639,0,1
"65",142.117963472551,22.4748737636378,1990,0,0,1
"66",158.221195921988,35.247352340247,1990,44.1329321342046,1,1
"67",144.963166973403,38.8206561654705,1990,0,0,1
"68",146.07117140487,34.3969446962863,1990,10.3228286471777,0,1
"69",152.620571787484,25.2502120318343,1990,0,1,1
"70",152.716552748133,24.6610845790721,1990,0,1,1
"71",141.128936913819,28.9499787616278,1990,0,0,1
"72",142.185862496604,41.3271891767452,1990,0,0,1
"73",160.79502879647,16.016783602054,1990,0,1,1
"74",130.845947953618,33.6693302158599,1990,0,0,1
"75",145.458450909216,42.820115392654,1990,0,0,1
"76",134.64481492612,31.7825247937499,1990,0,0,1
"77",131.370936274617,19.4709291342579,1990,0,0,1
"78",152.509549964572,43.2014011950468,1990,0,1,1
"79",154.672226234291,37.4895196056029,1990,14.0979798032526,1,1
"80",137.193663986174,14.7096785283569,1990,0,0,1
"81",154.283812046442,31.3972610365792,1990,26.5629141039642,1,1
"82",160.261291313707,17.1930268954746,1990,0,1,1
"83",142.761317474048,38.5956336639424,1990,0,0,1
"84",139.443371878322,14.4975835424112,1990,0,0,1
"85",124.44211736805,35.968980279714,1990,0,0,1
"86",150.845808377211,25.803979044066,1990,0,1,1
"87",130.459602421372,48.4586751790404,1990,0,0,1
"88",143.565646202035,41.3722838657579,1990,0,0,1
"89",144.705738916957,12.3816741772971,1990,0,0,1
"90",147.307994224187,25.813336274806,1990,0,0,1
"91",125.785894789585,32.7727783300672,1990,0,0,1
"92",141.031166567004,36.1719681082711,1990,0,0,1
"93",148.810822023548,11.7663752324804,1990,0,0,1
"94",146.009914813062,34.5823912080869,1990,12.7872628271086,0,1
"95",143.154850918237,20.7951763081205,1990,0,0,1
"96",148.699199839315,36.0796730311813,1990,0,0,1
"97",144.374637852788,36.2092996166741,1990,15.4399511954776,0,1
"98",148.328034101433,59.8407958801673,1990,0,0,1
"99",146.248194069019,36.0826192074978,1990,0,0,1
"100",145.102870231375,40.6919294915754,1990,0,0,1
"101",154.880021673182,19.8305679197437,1990,0,1,1
"102",136.52282307129,38.0307764604326,1990,0,0,1
"103",153.219727435063,30.8969296600926,1990,25.9981263960444,1,1
