"year","lon","lat","cpue","vessel_id"
1990,150.19347825867,33.5598565245185,84.419,"v1"
1990,143.582249398418,35.7863637241891,42.338,"v1"
1990,155.155177623752,31.8621174457296,196.756,"v1"
1990,148.946914296041,34.9983816626366,45.046,"v3"
1990,147.990956224649,28.7298700052521,32.124,"v3"
1990,158.044726434156,33.8461121239496,105.082,"v3"
1990,147.891638566521,27.1239054179829,40.293,"v4"
1990,149.418317289301,31.067082352302,47.418,"v6"
1990,143.216935888112,34.8384461088415,37.393,"v6"
1990,149.836113117145,33.7447598028014,116.142,"v8"
1990,149.641906023221,30.6986305182896,74.555,"v8"
1990,152.630645656854,23.5965134477373,11.507,"v9"
1990,148.314024730575,26.7597872595638,32.353,"v12"
1990,147.270851613054,29.781024273134,83.47,"v13"
1990,151.697170849127,33.2200733346371,66.768,"v13"
1990,147.794432153364,24.4232903716453,55.227,"v13"
1990,152.643839188987,28.9415695982744,53.171,"v14"
1990,148.286812242509,26.3674912439793,139.287,"v15"
1990,154.001573472006,28.299099380395,182.223,"v15"
1990,152.903958904465,28.1992023236646,183.512,"v15"
1990,157.989307974873,29.4331686595732,321.913,"v16"
1990,149.338552288818,28.1383300218047,73.116,"v16"
1990,152.993443435564,29.7899775560432,29.197,"v16"
1990,149.850352148442,33.1158892681607,37.417,"v17"
1990,148.145831595362,24.6240581668513,75.553,"v17"
1990,148.064240036889,26.188841340067,48.953,"v17"
1990,148.421537525063,26.5542506416163,108.396,"v17"
1990,147.830996090429,29.7851160024933,45.505,"v17"
1990,159.044411797896,32.8179278718356,32.884,"v18"
1990,153.441580579082,30.4939960291936,18.397,"v22"
1990,148.095883683984,30.5169101865416,30.899,"v22"
1990,147.915302608025,25.1381698745775,42.131,"v24"
1990,145.635439028627,29.5499398008584,37.022,"v25"
1990,148.355808195161,34.0315181415599,14.929,"v25"
1990,149.763568402845,30.5277893126995,78.235,"v26"
1990,148.185845736937,33.8256753112454,23.726,"v27"
1990,150.603099947484,30.5752040353834,24.471,"v27"
1990,144.879693581915,30.9038499753804,79.723,"v27"
1990,151.695779163022,21.9792693815263,50.716,"v28"
1990,152.344350732756,31.2735333954106,57.766,"v30"
1990,151.001850437343,33.3481755637418,97.812,"v30"
